Master Category,Subcategory,Date,Location,Payee,Description,Payment Method,Amount
Auto/Transportation,Gasoline,5/31/2014,"CHARLOTTE    ,NC",SHELL OIL,"SHELL OIL 57545513707 CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$61.92 
Bills/Utilities,Cable/Satellite TV,4/4/2015,CHARLOTTE,TIME WARNER CABLE - CAROLINAS,Cable/Satellite TV-TIME WARNER CABLE - CAROLINAS,CHECKING XXXXXXXXX4195,$135.91 
Bills/Utilities,Cable/Satellite TV,3/5/2015,CHARLOTTE,TIME WARNER CABLE - CAROLINAS,Cable/Satellite TV-TIME WARNER CABLE - CAROLINAS,CHECKING XXXXXXXXX4195,$116.72 
Bills/Utilities,Cable/Satellite TV,2/3/2015,CHARLOTTE,TIME WARNER CABLE - CAROLINAS,Cable/Satellite TV-TIME WARNER CABLE - CAROLINAS,CHECKING XXXXXXXXX4195,$120.95 
Bills/Utilities,Cable/Satellite TV,1/3/2015,CHARLOTTE,TIME WARNER CABLE - CAROLINAS,Cable/Satellite TV-TIME WARNER CABLE - CAROLINAS,CHECKING XXXXXXXXX4195,$104.18 
Bills/Utilities,Cable/Satellite TV,12/2/2014,CHARLOTTE,TIME WARNER CABLE - CAROLINAS,Cable/Satellite TV-TIME WARNER CABLE - CAROLINAS,CHECKING XXXXXXXXX4195,$164.45 
Bills/Utilities,Cable/Satellite TV,11/12/2014,CHARLOTTE,TIME WARNER CABLE - CAROLINAS,Cable/Satellite TV-TIME WARNER CABLE - CAROLINAS,CHECKING XXXXXXXXX4195,$104.40 
Bills/Utilities,Gas/Electric,4/4/2015,CHARLOTTE,DUKE ENERGY NORTH AND SOUTH CAROLINA,Gas/Electric-DUKE ENERGY NORTH AND SOUTH CAROLINA,CHECKING XXXXXXXXX4195,$97.99 
Bills/Utilities,Gas/Electric,3/3/2015,CHARLOTTE,DUKE ENERGY NORTH AND SOUTH CAROLINA,Gas/Electric-DUKE ENERGY NORTH AND SOUTH CAROLINA,CHECKING XXXXXXXXX4195,$115.66 
Bills/Utilities,Gas/Electric,2/3/2015,CHARLOTTE,DUKE ENERGY NORTH AND SOUTH CAROLINA,Gas/Electric-DUKE ENERGY NORTH AND SOUTH CAROLINA,CHECKING XXXXXXXXX4195,$112.45 
Bills/Utilities,Gas/Electric,1/6/2015,CHARLOTTE,DUKE ENERGY NORTH AND SOUTH CAROLINA,Gas/Electric-DUKE ENERGY NORTH AND SOUTH CAROLINA,CHECKING XXXXXXXXX4195,$87.45 
Bills/Utilities,Gas/Electric,12/2/2014,CHARLOTTE,DUKE ENERGY NORTH AND SOUTH CAROLINA,Gas/Electric-DUKE ENERGY NORTH AND SOUTH CAROLINA,CHECKING XXXXXXXXX4195,$76.60 
Food/Drink,Bars/Alcohol,6/25/2014,"CHARLOTTE    ,NC",MECKLENBURG COUNTY ABC,"MECKLENBURG COUNTY ABC CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$27.77 
Food/Drink,Bars/Alcohol,6/21/2014,"CHARLOTTE    ,NC",MECKLENBURG COUNTY ABC,"MECKLENBURG COUNTY ABC CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$27.77 
Food/Drink,Bars/Alcohol,5/31/2014,"CHARLOTTE    ,NC",THIRSTY BEAVER SALOON,"THIRSTY BEAVER SALOON, CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$15.25 
Food/Drink,Bars/Alcohol,5/30/2014,"CHARLOTTE    ,NC",MECKLENBURG COUNTY ABC,"MECKLENBURG COUNTY ABC CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$27.77 
Food/Drink,Bars/Alcohol,5/7/2014,"CHARLOTTE    ,NC",MECKLENBURG COUNTY ABC,"MECKLENBURG COUNTY ABC CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$53.45 
Food/Drink,Bars/Alcohol,4/14/2014,"CHARLOTTE    ,NC",MECKLENBURG COUNTY ABC,"MECKLENBURG COUNTY ABC CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$29.91 
Food/Drink,Bars/Alcohol,4/3/2014,"CHARLOTTE    ,NC",MECKLENBURG COUNTY ABC,"MECKLENBURG COUNTY ABC CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$36.27 
Food/Drink,Fast Food,11/4/2014,"CHARLOTTE    ,NC",JACK IN THE BOX,"JACK IN THE BOX 6807 CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$8.41 
Food/Drink,Fast Food,11/4/2014,"CHARLOTTE    ,NC",UNCC CHICK FIL,"UNCC CHICK FIL28127298 CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$6.97 
Food/Drink,Fast Food,11/4/2014,"CHARLOTTE    ,NC",UNCC CHICK FIL,"UNCC CHICK FIL28127298 CHARLOTTE    ,NC",PLATINUM CARD XXXX-XXXX-XXXX-3002,$6.97 
Food/Drink,Fast Food,11/3/2014,"CHARLOTTE    ,NC",STARBUCKS,"UNCC STARBUCKS28212165 CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$2.44 
Food/Drink,Fast Food,11/3/2014,"CHARLOTTE    ,NC",UNCC EINSTEIN,"UNCC EINSTEIN 28212132 CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$7.77 
Food/Drink,Fast Food,11/3/2014,"CHARLOTTE    ,NC",UNCC EINSTEIN,"UNCC EINSTEIN 28212132 CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$5.25 
Food/Drink,Fast Food,4/14/2014,"CHARLOTTE    ,NC",UNCC MAIN ST M,"UNCC MAIN ST M20127338 CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$6.48 
Food/Drink,Fast Food,4/4/2014,"CHARLOTTE    ,NC",TACO BELL,"TACO BELL 001600168484 CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$9.17 
Food/Drink,Fast Food,4/4/2014,"CHARLOTTE    ,NC",UNCC CHICK FIL,"UNCC CHICK FIL28127298 CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$10.00 
Food/Drink,Fast Food,3/10/2014,"CHARLOTTE    ,NC",UNCC LIBRARY P,"UNCC LIBRARY P28127322 CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$4.27 
Food/Drink,Groceries,6/9/2014,"CHARLOTTE    ,NC",HARRIS TEETER,"HARRIS TEETER #0258 CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$76.22 
