Master Category,Subcategory,Date,Location,Payee,Description,Payment Method,Amount,
"Auto/Transportation","Gasoline","04/27/2015"," ","FILL GOOD","PURCHASE                                AUTHORIZED ON   04/25 FILL GOOD #17             INDIAN TRAIL  NC  P00000000344377067 CARD 3556","Debit Card/ATM Card XXXX-XXXX-XXXX-3556","$37.53",
"Auto/Transportation","Gasoline","04/15/2015"," ","SHELL","PURCHASE                                AUTHORIZED ON   04/15 SHELL Service Station     CHARLOTTE     NC  P00305105606336539 CARD 3556","Debit Card/ATM Card XXXX-XXXX-XXXX-3556","$37.92",
"Auto/Transportation","Gasoline","04/13/2015"," ","FLYING J","PURCHASE                                AUTHORIZED ON   04/12 FLYING J #626             SAINT AUGUSTI FL  P00585102647128594 CARD 3556","Debit Card/ATM Card XXXX-XXXX-XXXX-3556","$1.75",
"Auto/Transportation","Gasoline","04/10/2015"," ","GATE 0209 416 E. HWY","PURCHASE                                AUTHORIZED ON   04/09 GATE 0209 416 E. HWY 8    POOLER        GA  P00000000155781852 CARD 3556","Debit Card/ATM Card XXXX-XXXX-XXXX-3556","$1.23",
"Auto/Transportation","Gasoline","04/06/2015"," ","7-ELEVEN","PURCHASE                                AUTHORIZED ON   04/04 7-ELEVEN                  CHARLOTTE     NC  P00000000950949163 CARD 3556","Debit Card/ATM Card XXXX-XXXX-XXXX-3556","$15.00",
"Auto/Transportation","Gasoline","04/06/2015"," ","FILL GOOD","PURCHASE                                AUTHORIZED ON   04/05 FILL GOOD #17             INDIAN TRAIL  NC  P00000000045222760 CARD 3556","Debit Card/ATM Card XXXX-XXXX-XXXX-3556","$39.02",
"Auto/Transportation","Gasoline","03/30/2015"," ","SHELL","PURCHASE                                AUTHORIZED ON   03/28 SHELL Service Station     CHARLOTTE     NC  P00585087619681503 CARD 3556","Debit Card/ATM Card XXXX-XXXX-XXXX-3556","$42.83",
"Auto/Transportation","Gasoline","03/19/2015"," ","SHELL","PURCHASE                                AUTHORIZED ON   03/19 SHELL Service Station     CHARLOTTE     NC  P00465078803145795 CARD 3556","Debit Card/ATM Card XXXX-XXXX-XXXX-3556","$37.21",
"Auto/Transportation","Gasoline","03/12/2015"," ","7-ELEVEN","PURCHASE                                AUTHORIZED ON   03/12 7-ELEVEN                  CHARLOTTE     NC  P00000000342501986 CARD 3556","Debit Card/ATM Card XXXX-XXXX-XXXX-3556","$10.71",
"Auto/Transportation","Gasoline","03/06/2015"," ","SHELL OIL","PURCHASE                                AUTHORIZED ON   03/04 SHELL OIL 57545513        CHARLOTTE     NC  S305064109328925   CARD 3556","Debit Card/ATM Card XXXX-XXXX-XXXX-3556","$39.84",
"Auto/Transportation","Gasoline","02/25/2015"," ","FAST PHIL'S","PURCHASE                                AUTHORIZED ON   02/24 FAST PHIL'S #9            MOORESVILLE   NC  S305055539024729   CARD 3556","Debit Card/ATM Card XXXX-XXXX-XXXX-3556","$33.14",
"Auto/Transportation","Gasoline","02/17/2015"," ","LOWE'S","PURCHASE                                AUTHORIZED ON   02/12 LOWE'S FOODS #241         MOORESVILLE   NC  S305043485835714   CARD 3556","Debit Card/ATM Card XXXX-XXXX-XXXX-3556","$35.54",
"Auto/Transportation","Gasoline","02/12/2015"," ","7-ELEVEN","PURCHASE                                AUTHORIZED ON   02/12 7-ELEVEN                  CHARLOTTE     NC  P00000000451174924 CARD 3556","Debit Card/ATM Card XXXX-XXXX-XXXX-3556","$10.71",
"Auto/Transportation","Gasoline","02/06/2015"," ","7-ELEVEN","PURCHASE                                AUTHORIZED ON   02/06 7-ELEVEN                  CHARLOTTE     NC  P00000000246609681 CARD 3556","Debit Card/ATM Card XXXX-XXXX-XXXX-3556","$15.00",
"Auto/Transportation","Gasoline","02/05/2015"," ","SHELL","PURCHASE                                AUTHORIZED ON   02/05 SHELL Service Station     CHARLOTTE     NC  P00385036463228728 CARD 3556","Debit Card/ATM Card XXXX-XXXX-XXXX-3556","$34.56",
"Auto/Transportation","Gasoline","01/29/2015"," ","7-ELEVEN","PURCHASE                                AUTHORIZED ON   01/29 7-ELEVEN                  CHARLOTTE     NC  P00000000251726300 CARD 3556","Debit Card/ATM Card XXXX-XXXX-XXXX-3556","$20.90",
"Auto/Transportation","Gasoline","01/26/2015"," ","SHELL","PURCHASE                                AUTHORIZED ON   01/25 SHELL Service Station     CHARLOTTE     NC  P00305025684940060 CARD 3556","Debit Card/ATM Card XXXX-XXXX-XXXX-3556","$33.60",
"Auto/Transportation","Gasoline","01/16/2015"," ","LOWE'S","PURCHASE                                AUTHORIZED ON   01/14 LOWE'S FOODS #241         MOORESVILLE   NC  S305014666237676   CARD 3556","Debit Card/ATM Card XXXX-XXXX-XXXX-3556","$33.79",
"Auto/Transportation","Gasoline","01/15/2015"," ","7-ELEVEN","PURCHASE                                AUTHORIZED ON   01/15 7-ELEVEN                  CHARLOTTE     NC  P00000000240392465 CARD 3556","Debit Card/ATM Card XXXX-XXXX-XXXX-3556","$10.71",
"Auto/Transportation","Gasoline","01/09/2015"," ","7-ELEVEN","PURCHASE                                AUTHORIZED ON   01/09 7-ELEVEN                  CHARLOTTE     NC  P00000000853367410 CARD 3556","Debit Card/ATM Card XXXX-XXXX-XXXX-3556","$10.71",
"Auto/Transportation","Gasoline","01/08/2015"," ","LOWE'S","PURCHASE                                AUTHORIZED ON   01/06 LOWE'S FOODS #241         MOORESVILLE   NC  S465006805304102   CARD 3556","Debit Card/ATM Card XXXX-XXXX-XXXX-3556","$36.91",
"Auto/Transportation","Gasoline","01/05/2015"," ","7-ELEVEN","PURCHASE                                AUTHORIZED ON   01/05 7-ELEVEN                  CHARLOTTE     NC  P00000000152242406 CARD 3556","Debit Card/ATM Card XXXX-XXXX-XXXX-3556","$10.71",
"Auto/Transportation","Gasoline","12/31/2014"," ","7-ELEVEN","PURCHASE                                AUTHORIZED ON   12/31 7-ELEVEN                  CHARLOTTE     NC  P00000000241089064 CARD 3556","Debit Card/ATM Card XXXX-XXXX-XXXX-3556","$15.00",
"Auto/Transportation","Gasoline","12/19/2014"," ","7-ELEVEN","PURCHASE                                AUTHORIZED ON   12/19 7-ELEVEN                  CHARLOTTE     NC  P00000000436659507 CARD 3556","Debit Card/ATM Card XXXX-XXXX-XXXX-3556","$15.00",
"Auto/Transportation","Gasoline","12/19/2014"," ","SHELL","PURCHASE                                AUTHORIZED ON   12/19 SHELL Service Station     CHARLOTTE     NC  P00304353770563179 CARD 3556","Debit Card/ATM Card XXXX-XXXX-XXXX-3556","$40.45",
