Cash/ATM,Cash Advances from Wells Fargo Credit Card,10/21/2014,"CHARLOTTE    ,NC",WELLS FARGO CREDIT CARD,"OVERDRAFT TO 101014439419 5            ,",Credit Card XXXX-XXXX-XXXX-2616,$25.00 
Cash/ATM,Cash Advances from Wells Fargo Credit Card,10/20/2014,"CHARLOTTE    ,NC",WELLS FARGO CREDIT CARD,"OVERDRAFT TO 101014439419 5            ,",Credit Card XXXX-XXXX-XXXX-2616,$25.00 
Cash/ATM,Cash Advances from Wells Fargo Credit Card,10/15/2014,"CHARLOTTE    ,NC",WELLS FARGO CREDIT CARD,"OVERDRAFT TO 101014439419 5            ,",Credit Card XXXX-XXXX-XXXX-2616,$25.00 
Cash/ATM,Cash Advances from Wells Fargo Credit Card,10/15/2014,"CHARLOTTE    ,NC",WELLS FARGO CREDIT CARD,"OVERDRAFT TO 101014439419 5            ,",Credit Card XXXX-XXXX-XXXX-2616,$25.00 
Cash/ATM,Cash Advances from Wells Fargo Credit Card,10/9/2014,"CHARLOTTE    ,NC",WELLS FARGO CREDIT CARD,"OVERDRAFT TO 101014439419 5            ,",Credit Card XXXX-XXXX-XXXX-2616,$25.00 
Cash/ATM,Cash Advances from Wells Fargo Credit Card,10/8/2014,"CHARLOTTE    ,NC",WELLS FARGO CREDIT CARD,"OVERDRAFT TO 101014439419 5            ,",Credit Card XXXX-XXXX-XXXX-2616,$85.14 
Cash/ATM,Cash Advances from Wells Fargo Credit Card,10/6/2014,"CHARLOTTE    ,NC",WELLS FARGO CREDIT CARD,"OVERDRAFT TO 101014439419 5            ,",Credit Card XXXX-XXXX-XXXX-2616,$25.56 
Cash/ATM,Cash Advances from Wells Fargo Credit Card,1/6/2014,"CHARLOTTE    ,NC",WELLS FARGO CREDIT CARD,"OVERDRAFT TO 101014439419 5            ,",Credit Card XXXX-XXXX-XXXX-2616,$83.97 
Bills/Utilities,Phone/Internet,10/6/2014,"Fairfax  ,VA",SITELUTIONSCOM,"SITELUTIONSCOM 703-4854600  ,VA",Credit Card XXXX-XXXX-XXXX-2616,$17.45 
Business/Office,Other Business/Office,10/6/2014,"Fairfax  ,VA",SITELUTIONS,"SITELUTIONS 703-4854600  ,VA",Credit Card XXXX-XXXX-XXXX-2616,$119.40 
Health,Doctor/Hospital,4/9/2015,"Fairfax  ,VA",CAROLINAS HEATLHCARE SYS,"CAROLINAS HEATLHCARE SYS 704-512-7000 ,NC",PLATINUM CARD XXXX-XXXX-XXXX-3002,($112.42)
Health,Doctor/Hospital,3/5/2015,"Fairfax  ,VA",CAROLINAS HEATLHCARE SYS,"CAROLINAS HEATLHCARE SYS 704-512-7000 ,NC",PLATINUM CARD XXXX-XXXX-XXXX-3002,$824.60 
Insurance/Financial,Other Insurance/Financial,2/18/2014,"Fairfax  ,VA",FSI NCFB INS,"FSI*NCFB INS PREM PMT 919-782-1705 ,NC",Credit Card XXXX-XXXX-XXXX-2616,$63.00 
Shopping,Electronics/Software,11/5/2014,"BEIJING      ,CN",CLOTHES LOOK E-STORE,"CLOTHES LOOK E-STORE BEIJING      ,CN",PLATINUM CARD XXXX-XXXX-XXXX-3002,$112.10 
Shopping,Electronics/Software,11/5/2014,"BEIJING      ,CN",CLOTHES LOOK E-STORE,"CLOTHES LOOK E-STORE BEIJING      ,CN",Credit Card XXXX-XXXX-XXXX-2616,$112.10 
Bills/Utilities,Cable/Satellite TV,4/4/2015,"CHARLOTTE    ,NC",TIME WARNER CABLE - CAROLINAS,Cable/Satellite TV-TIME WARNER CABLE - CAROLINAS,CHECKING XXXXXXXXX4195,$135.91 
Bills/Utilities,Cable/Satellite TV,3/5/2015,"CHARLOTTE    ,NC",TIME WARNER CABLE - CAROLINAS,Cable/Satellite TV-TIME WARNER CABLE - CAROLINAS,CHECKING XXXXXXXXX4195,$116.72 
Bills/Utilities,Cable/Satellite TV,2/3/2015,"CHARLOTTE    ,NC",TIME WARNER CABLE - CAROLINAS,Cable/Satellite TV-TIME WARNER CABLE - CAROLINAS,CHECKING XXXXXXXXX4195,$120.95 
Bills/Utilities,Cable/Satellite TV,1/3/2015,"CHARLOTTE    ,NC",TIME WARNER CABLE - CAROLINAS,Cable/Satellite TV-TIME WARNER CABLE - CAROLINAS,CHECKING XXXXXXXXX4195,$104.18 
Bills/Utilities,Cable/Satellite TV,12/2/2014,"CHARLOTTE    ,NC",TIME WARNER CABLE - CAROLINAS,Cable/Satellite TV-TIME WARNER CABLE - CAROLINAS,CHECKING XXXXXXXXX4195,$164.45 
Bills/Utilities,Cable/Satellite TV,11/12/2014,"CHARLOTTE    ,NC",TIME WARNER CABLE - CAROLINAS,Cable/Satellite TV-TIME WARNER CABLE - CAROLINAS,CHECKING XXXXXXXXX4195,$104.40 
Bills/Utilities,Gas/Electric,4/4/2015,"CHARLOTTE    ,NC",DUKE ENERGY NORTH AND SOUTH CAROLINA,Gas/Electric-DUKE ENERGY NORTH AND SOUTH CAROLINA,CHECKING XXXXXXXXX4195,$97.99 
Bills/Utilities,Gas/Electric,3/3/2015,"CHARLOTTE    ,NC",DUKE ENERGY NORTH AND SOUTH CAROLINA,Gas/Electric-DUKE ENERGY NORTH AND SOUTH CAROLINA,CHECKING XXXXXXXXX4195,$115.66 
Bills/Utilities,Gas/Electric,2/3/2015,"CHARLOTTE    ,NC",DUKE ENERGY NORTH AND SOUTH CAROLINA,Gas/Electric-DUKE ENERGY NORTH AND SOUTH CAROLINA,CHECKING XXXXXXXXX4195,$112.45 
